Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change Percentage (%),Date
MALWATTE VALLEY PLANTATION PLC,MAL.N0000,250,2,23.8,24.8,24.8,24.8,24.8,1.0,4.2,2022-04-12
MARAWILA RESORTS PLC,MARA.N0000,339868,78,1.8,1.8,2.0,1.6,1.7,-0.1,-5.56,2022-04-12
MASKELIYA PLANTATIONS PLC,MASK.N0000,21847,16,9.4,9.5,9.5,9.1,9.2,-0.2,-2.13,2022-04-12
MELSTACORP PLC,MELS.N0000,358939,74,38.7,38.1,39.5,37.5,38.1,-0.6,-1.55,2022-04-12
MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,40733,26,4.7,4.7,4.9,4.5,4.5,-0.2,-4.26,2022-04-12
MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000,64667,29,4.1,4.0,4.0,3.3,3.8,-0.3,-7.32,2022-04-12
MULLER & PHIPPS (CEYLON) PLC,MULL.N0000,173930,14,1.0,1.0,1.0,0.9,1.0,0.0,0.0,2022-04-12
MULTI FINANCE PLC,MFL.N0000,2987,2,9.4,9.0,9.1,9.0,9.0,-0.4,-4.26,2022-04-12
MYLAND DEVELOPMENTS PLC,MDL.N0000,3757,17,12.5,12.0,13.8,10.4,11.4,-1.1,-8.8,2022-04-12
NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,387,15,334.5,340.0,379.5,321.5,341.25,6.75,2.02,2022-04-12
NATION LANKA FINANCE PLC,CSF.N0000,79300,12,0.6,0.7,0.7,0.6,0.6,0.0,0.0,2022-04-12
NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,57703,50,54.2,52.6,57.6,52.0,53.4,-0.8,-1.48,2022-04-12
NATIONS TRUST BANK PLC,NTB.N0000,62607,42,40.0,40.2,40.2,39.1,39.1,-0.9,-2.25,2022-04-12
NAWALOKA HOSPITALS PLC,NHL.N0000,24224,19,6.9,7.0,7.1,6.5,6.8,-0.1,-1.45,2022-04-12
NESTLE LANKA PLC,NEST.N0000,1995,34,928.25,950.0,950.0,920.0,921.25,-7.0,-0.75,2022-04-12
ODEL PLC,ODEL.N0000,5016,3,20.0,20.0,20.0,19.8,20.0,0.0,0.0,2022-04-12
ORIENT FINANCE PLC,BFN.N0000,7560,3,13.7,13.4,13.4,12.0,12.0,-1.7,-12.41,2022-04-12
OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,534709,90,14.3,14.2,15.0,13.5,14.0,-0.3,-2.1,2022-04-12
PALM GARDEN HOTELS PLC,PALM.N0000,1014,6,36.6,36.6,36.6,36.6,36.6,0.0,0.0,2022-04-12
PAN ASIA BANKING CORPORATION PLC,PABC.N0000,106673,61,10.0,9.9,10.2,9.8,10.0,0.0,0.0,2022-04-12
PANASIAN POWER PLC,PAP.N0000,81165,46,3.8,4.0,4.0,3.7,3.7,-0.1,-2.63,2022-04-12
